section,title,purpose,evidence_status,artifact_count,available_artifacts,missing_named_artifacts
5.1,Dataset and Experimental Evidence,"Dataset characteristics, attack composition, experimental design, and empirical evidence coverage.",EVIDENCE_AVAILABLE,3,table_attack_distribution.csv; table_poisoned_summary.csv; table_class_imbalance_class_distribution.csv,
5.2,Exploratory Data Analysis,"Descriptive statistics, class distributions, attack distributions, missingness, duplication, outliers, and invalid-value findings.",EVIDENCE_AVAILABLE,8,table_attack_distribution.csv; table_class_imbalance_class_distribution.csv; table_missingness_overall.csv; table_duplicate_by_attack.csv; table_outlier_by_attack.csv; table_negative_values_by_attack.csv; table_descriptive_malmem.csv; table_descriptive_android.csv,
5.3,Integrity Results,"Reference-consistency and provenance verification including modification, addition, removal, and multiplicity detection.",EVIDENCE_AVAILABLE,4,table_integrity_unit_tests_malmem.csv; trusted_manifest_malmem.csv; trusted_manifest_android.csv; table_phase19_2_rq1_integrity_interpretation.csv,table_integrity_unit_tests_android.csv
5.4,Anomaly-Detection Results,"Isolation Forest anomaly detection performance, threshold sensitivity, and attack-specific results.",EVIDENCE_AVAILABLE,5,table_anomaly_detection_performance.csv; table_anomaly_attack_specific_malmem.csv; table_anomaly_attack_specific_android.csv; table_anomaly_threshold_sensitivity.csv; table_phase19_3_rq2_anomaly_interpretation.csv,
5.5,PoisonShield Results,Combined anomaly and integrity evidence using the risk-based PoisonShield fusion architecture.,EVIDENCE_AVAILABLE,2,table8_attack_specific_results.csv; table_phase19_4_rq3_poisonshield_interpretation.csv,table_phase19_4_rq3_summary.csv
5.6,Attack-Specific Detection Results,Detection behavior across the seven primary poisoning mechanisms.,EVIDENCE_AVAILABLE,4,attack_specific_detection.csv; attack_specific_detection_summary.csv; table8_attack_specific_results.csv; table_phase11_attack_specific_detection.csv,
5.7,Poisoning-Rate Results,"Performance under controlled poisoning rates of 1%, 5%, 10%, and 20%.",EVIDENCE_AVAILABLE,3,table_phase18_11_poisoning_rate_sensitivity.csv; table_phase19_6_rq4_rate_comparison.csv; table_phase19_6_rq4_rate_summary.csv,
5.8,Downstream Model Performance,Clean-test classification performance under the evaluated training conditions.,EVIDENCE_AVAILABLE,3,table_phase19_7_rq5_downstream_comparison.csv; table_phase19_7_rq5_downstream_summary.csv; table_phase10_E1_E4_downstream_comparison.csv,
5.9,Ablation Results,Comparison of complete PoisonShield with component removal and alternative fusion configurations.,EVIDENCE_AVAILABLE,3,table_phase18_14_ablation_study.csv; table_phase14_2_ablation_summary.csv; table_phase14_3_ablation_comparisons.csv,
5.10,Robustness and Sensitivity Results,"Seed, attack, threshold, dataset, and other persisted sensitivity analyses.",EVIDENCE_AVAILABLE,3,table_phase13_2_seed_robustness.csv; table_phase13_4d_final_dataset_sensitivity_summary.csv; table_phase13_4d_dataset_defense_summary.csv,table_phase18_19_main_defense_comparison.csv
5.11,Statistical Comparisons,"Statistical comparison results, effect sizes, confidence intervals, and adjusted significance where available.",EVIDENCE_AVAILABLE,2,table_phase18_15_statistical_comparison.csv; table_phase15_7_statistical_interpretation.csv,table_phase15_5_statistical_comparison.csv
5.12,Computational Overhead,Training and filtering computational overhead and operational trade-offs.,EVIDENCE_AVAILABLE,1,table_phase18_15_statistical_comparison.csv,table_phase15_8_final_statistical_report.csv
